--- Terminal on /dev/cu.usbserial-0001 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
116 - IR_RAW: 111446 - IR_AC: -164
117 - IR_RAW: 111518 - IR_AC: -270
118 - IR_RAW: 111496 - IR_AC: -338
119 - IR_RAW: 111449 - IR_AC: -359
120 - IR_RAW: 111441 - IR_AC: -339
121 - IR_RAW: 111488 - IR_AC: -297
122 - IR_RAW: 111561 - IR_AC: -252
123 - IR_RAW: 111650 - IR_AC: -213
124 - IR_RAW: 111711 - IR_AC: -182
125 - IR_RAW: 111762 - IR_AC: -152
126 - IR_RAW: 111833 - IR_AC: -117
127 - IR_RAW: 111886 - IR_AC: -73
128 - IR_RAW: 111936 - IR_AC: -22
129 - IR_RAW: 111994 - IR_AC: 32
130 - IR_RAW: 112045 - IR_AC: 86
131 - IR_RAW: 112067 - IR_AC: 135
132 - IR_RAW: 112091 - IR_AC: 179
133 - IR_RAW: 112004 - IR_AC: 215
134 - IR_RAW: 111233 - IR_AC: 235
135 - IR_RAW: 111047 - IR_AC: 230
136 - IR_RAW: 111148 - IR_AC: 186
137 - IR_RAW: 111287 - IR_AC: 99
138 - IR_RAW: 111336 - IR_AC: -22
139 - IR_RAW: 111384 - IR_AC: -156
140 - IR_RAW: 111426 - IR_AC: -272
141 - IR_RAW: 111395 - IR_AC: -347
142 - IR_RAW: 111346 - IR_AC: -372
143 - IR_RAW: 111354 - IR_AC: -355
144 - IR_RAW: 111426 - IR_AC: -316
145 - IR_RAW: 111476 - IR_AC: -273
146 - IR_RAW: 111549 - IR_AC: -236
147 - IR_RAW: 111609 - IR_AC: -205
148 - IR_RAW: 111666 - IR_AC: -174
149 - IR_RAW: 111716 - IR_AC: -138
